contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261130P00475000,2026-09-15 17:52:46+00:00,475.0,0.47,0.45,0.46,0.02000001,4.4444466,16.0,1010,0.44385321777343745,False,REGULAR,USD
SPY261130P00480000,2026-09-11 16:25:57+00:00,480.0,0.45,0.47,0.48,0.0,0.0,1.0,53,0.43726148681640625,False,REGULAR,USD
SPY261130P00485000,2026-09-08 19:48:31+00:00,485.0,0.5,0.5,0.51,0.030000001,6.382979,20.0,160,0.43164630859375,False,REGULAR,USD
SPY261130P00490000,2026-09-09 17:53:53+00:00,490.0,0.51,0.52,0.53,0.0,0.0,1.0,74,0.4250545776367188,False,REGULAR,USD
SPY261130P00495000,2026-09-14 14:17:12+00:00,495.0,0.59,0.55,0.56,0.0,0.0,1.0,16,0.41919526123046874,False,REGULAR,USD
SPY261130P00500000,2026-09-15 17:53:10+00:00,500.0,0.61,0.58,0.59,0.060000002,10.909091,17.0,380,0.4133359448242187,False,REGULAR,USD
SPY261130P00505000,2026-09-15 19:54:36+00:00,505.0,0.62,0.61,0.62,0.01999998,3.33333,5.0,129,0.4074766284179688,False,REGULAR,USD
SPY261130P00510000,2026-09-15 17:12:34+00:00,510.0,0.68,0.65,0.66,-0.06999999,-9.333332,10.0,71,0.40210558837890625,False,REGULAR,USD
SPY261130P00515000,2026-09-14 18:01:24+00:00,515.0,0.65,0.68,0.69,0.0,0.0,2.0,43,0.39588006469726567,False,REGULAR,USD
SPY261130P00520000,2026-09-14 19:58:57+00:00,520.0,0.74,0.72,0.73,0.0,0.0,11.0,32,0.39038695556640624,False,REGULAR,USD
SPY261130P00525000,2026-09-14 14:26:36+00:00,525.0,0.82,0.76,0.77,0.0,0.0,3.0,368,0.3846497082519531,False,REGULAR,USD
SPY261130P00530000,2026-09-14 18:57:07+00:00,530.0,0.76,0.8,0.81,0.0,0.0,2.0,542,0.37879039184570307,False,REGULAR,USD
SPY261130P00535000,2026-09-15 14:37:00+00:00,535.0,0.88,0.84,0.85,-0.110000014,-11.111113,1.0,191,0.37280900634765624,False,REGULAR,USD
