contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260923C00685000,2026-09-10 18:10:08+00:00,685.0,73.4,71.27,75.21,0.0,0.0,,1.0,0.5064746618652343,True,REGULAR,USD
SPY260923C00690000,2026-09-10 13:48:56+00:00,690.0,69.08,66.28,70.23,0.0,0.0,,41.0,0.4802298071289062,True,REGULAR,USD
SPY260923C00700000,2026-09-11 19:35:02+00:00,700.0,65.55,56.31,60.27,0.0,0.0,,0.0,0.426885614013672,True,REGULAR,USD
SPY260923C00705000,2026-09-14 14:59:23+00:00,705.0,53.91,51.34,55.3,0.0,0.0,2.0,1.0,0.4003355865478516,True,REGULAR,USD
SPY260923C00715000,2026-09-10 14:32:51+00:00,715.0,45.01,41.42,45.27,0.0,0.0,,212.0,0.34265794067382804,True,REGULAR,USD
SPY260923C00720000,2026-09-09 14:28:13+00:00,720.0,44.61,36.5,40.4,0.0,0.0,,50.0,0.3186103295898437,True,REGULAR,USD
SPY260923C00725000,2026-09-09 14:28:17+00:00,725.0,39.79,31.72,35.47,0.0,0.0,,51.0,0.29157202575683583,True,REGULAR,USD
SPY260923C00730000,2026-09-15 15:16:26+00:00,730.0,26.95,26.89,30.65,-8.009998,-22.911894,36.0,50.0,0.26709717285156254,True,REGULAR,USD
SPY260923C00742000,2026-09-10 14:20:31+00:00,742.0,19.55,16.51,19.11,0.0,0.0,,1.0,0.20218693328857418,True,REGULAR,USD
SPY260923C00743000,2026-09-15 13:49:32+00:00,743.0,17.93,16.47,17.38,-2.0699997,-10.349998,2.0,3.0,0.17591156127929689,True,REGULAR,USD
SPY260923C00744000,2026-09-15 13:41:47+00:00,744.0,17.26,15.62,16.51,-0.6700001,-3.7367544,2.0,1.0,0.1726156958007813,True,REGULAR,USD
SPY260923C00745000,2026-09-15 19:25:44+00:00,745.0,14.28,14.9,15.66,-2.8499994,-16.637476,1.0,1.0,0.1695639685058594,True,REGULAR,USD
SPY260923C00746000,2026-09-10 19:36:39+00:00,746.0,16.11,14.13,14.82,0.0,0.0,,,0.166573275756836,True,REGULAR,USD
SPY260923C00747000,2026-09-15 19:20:01+00:00,747.0,12.72,13.13,13.99,-2.6499996,-17.241377,82.0,2.0,0.16352154846191408,True,REGULAR,USD
SPY260923C00749000,2026-09-15 16:36:49+00:00,749.0,11.68,11.57,12.37,-1.9899998,-14.557423,8.0,21.0,0.1575401629638672,True,REGULAR,USD
SPY260923C00750000,2026-09-15 19:27:55+00:00,750.0,10.46,10.8,11.59,-4.0699997,-28.01101,20.0,36.0,0.1547630911254883,True,REGULAR,USD
SPY260923C00753000,2026-09-15 19:42:49+00:00,753.0,8.33,8.62,9.35,-3.2200003,-27.87879,24.0,4.0,0.14655394470214844,True,REGULAR,USD
SPY260923C00754000,2026-09-15 18:41:11+00:00,754.0,7.69,8.08,8.5,-6.78,-46.855564,19.0,2.0,0.14084721466064454,True,REGULAR,USD
SPY260923C00755000,2026-09-15 18:41:47+00:00,755.0,7.22,7.45,7.7,-2.3300004,-24.39791,85.0,29.0,0.13581186462402345,True,REGULAR,USD
SPY260923C00756000,2026-09-15 20:10:53+00:00,756.0,6.92,6.89,7.02,-2.9300003,-29.746195,61.0,36.0,0.13288220642089843,True,REGULAR,USD
SPY260923C00757000,2026-09-15 20:07:41+00:00,757.0,6.19,6.29,6.41,-2.9199996,-32.05269,175.0,86.0,0.13095961822509766,True,REGULAR,USD
SPY260923C00758000,2026-09-15 20:14:01+00:00,758.0,5.78,5.69,5.81,-2.2199998,-27.749998,646.0,176.0,0.1287318572998047,False,REGULAR,USD
SPY260923C00759000,2026-09-15 20:14:40+00:00,759.0,5.19,5.14,5.23,-2.2399998,-30.148045,1528.0,70.0,0.1263209927368164,False,REGULAR,USD
SPY260923C00760000,2026-09-15 20:07:52+00:00,760.0,4.52,4.61,4.7,-1.75,-27.910686,2348.0,968.0,0.12439840454101564,False,REGULAR,USD
SPY260923C00761000,2026-09-15 20:08:18+00:00,761.0,4.05,4.11,4.2,-1.5699997,-27.935938,37.0,189.0,0.12250633361816407,False,REGULAR,USD
SPY260923C00762000,2026-09-15 20:05:41+00:00,762.0,3.55,3.63,3.73,-1.5699999,-30.664062,54.0,161.0,0.12067529724121094,False,REGULAR,USD
SPY260923C00763000,2026-09-15 20:11:16+00:00,763.0,3.24,3.19,3.29,-1.3500001,-29.411768,48.0,186.0,0.11878322631835936,False,REGULAR,USD
SPY260923C00764000,2026-09-15 20:12:18+00:00,764.0,2.82,2.79,2.86,-1.4300001,-33.64706,98.0,297.0,0.11646391357421876,False,REGULAR,USD
SPY260923C00765000,2026-09-15 20:04:11+00:00,765.0,2.37,2.43,2.48,-1.23,-34.166668,166.0,649.0,0.11454132537841799,False,REGULAR,USD
SPY260923C00766000,2026-09-15 20:06:27+00:00,766.0,2.03,2.08,2.14,-1.1400001,-35.962147,395.0,132.0,0.11286287536621094,False,REGULAR,USD
SPY260923C00767000,2026-09-15 20:10:00+00:00,767.0,1.75,1.8,1.82,-1.1600001,-39.862545,117.0,187.0,0.1108792526245117,False,REGULAR,USD
SPY260923C00768000,2026-09-15 19:53:11+00:00,768.0,1.27,1.53,1.55,-1.4300001,-52.962963,84.0,77.0,0.10944494079589843,False,REGULAR,USD
SPY260923C00769000,2026-09-15 20:13:15+00:00,769.0,1.26,1.28,1.3,-1.03,-44.97817,40.0,189.0,0.10779700805664064,False,REGULAR,USD
SPY260923C00770000,2026-09-15 20:14:20+00:00,770.0,1.05,1.06,1.08,-0.75,-41.666668,282.0,631.0,0.10614907531738281,False,REGULAR,USD
SPY260923C00771000,2026-09-15 19:59:51+00:00,771.0,0.77,0.87,0.9,-0.93000007,-54.705887,26.0,45.0,0.10505045349121094,False,REGULAR,USD
SPY260923C00772000,2026-09-15 20:03:36+00:00,772.0,0.67,0.71,0.73,-0.59,-46.825394,61.0,96.0,0.10340252075195311,False,REGULAR,USD
SPY260923C00773000,2026-09-15 20:14:50+00:00,773.0,0.58,0.58,0.59,-0.50000006,-46.296303,484.0,99.0,0.10199872619628905,False,REGULAR,USD
SPY260923C00774000,2026-09-15 19:43:08+00:00,774.0,0.38,0.46,0.48,-0.56,-59.574467,250.0,321.0,0.1010832080078125,False,REGULAR,USD
SPY260923C00775000,2026-09-15 20:04:48+00:00,775.0,0.36,0.37,0.38,-0.39999998,-52.631573,664.0,302.0,0.09986251708984376,False,REGULAR,USD
SPY260923C00776000,2026-09-15 19:25:36+00:00,776.0,0.25,0.29,0.3,-0.43,-63.235294,457.0,237.0,0.09876389526367188,False,REGULAR,USD
SPY260923C00777000,2026-09-15 17:16:20+00:00,777.0,0.22,0.23,0.24,-0.32000002,-59.259262,483.0,310.0,0.0981535498046875,False,REGULAR,USD
SPY260923C00778000,2026-09-15 19:25:35+00:00,778.0,0.15,0.18,0.19,-0.29999998,-66.666664,20.0,447.0,0.0976652734375,False,REGULAR,USD
SPY260923C00779000,2026-09-15 20:04:59+00:00,779.0,0.14,0.14,0.15,-0.2,-58.82353,147.0,569.0,0.0971769970703125,False,REGULAR,USD
SPY260923C00780000,2026-09-15 20:06:42+00:00,780.0,0.11,0.11,0.12,-0.19000001,-63.333336,413.0,466.0,0.0971769970703125,False,REGULAR,USD
SPY260923C00781000,2026-09-15 16:24:14+00:00,781.0,0.12,0.09,0.1,-0.16,-57.142857,56.0,225.0,0.0976652734375,False,REGULAR,USD
SPY260923C00782000,2026-09-15 19:42:29+00:00,782.0,0.06,0.07,0.08,-0.11,-64.70588,521.0,512.0,0.0976652734375,False,REGULAR,USD
SPY260923C00783000,2026-09-15 17:26:14+00:00,783.0,0.08,0.06,0.07,-0.07000001,-46.66667,11.0,170.0,0.0991301025390625,False,REGULAR,USD
SPY260923C00784000,2026-09-15 19:43:09+00:00,784.0,0.04,0.04,0.05,-0.089999996,-69.230774,291.0,976.0,0.0976652734375,False,REGULAR,USD
SPY260923C00785000,2026-09-15 16:29:40+00:00,785.0,0.06,0.04,0.05,-0.040000003,-40.000004,194.0,983.0,0.100594931640625,False,REGULAR,USD
SPY260923C00786000,2026-09-15 18:19:56+00:00,786.0,0.04,0.03,0.04,-0.060000002,-60.0,8.0,44.0,0.1010832080078125,False,REGULAR,USD
SPY260923C00787000,2026-09-15 19:56:45+00:00,787.0,0.03,0.03,0.04,-0.17,-85.0,11.0,88.0,0.10401286621093749,False,REGULAR,USD
SPY260923C00788000,2026-09-14 15:29:41+00:00,788.0,0.08,0.02,0.03,0.0,0.0,4.0,339.0,0.10352458984374999,False,REGULAR,USD
SPY260923C00789000,2026-09-15 18:18:26+00:00,789.0,0.03,0.02,0.03,-0.04,-57.142857,10.0,240.0,0.106454248046875,False,REGULAR,USD
SPY260923C00790000,2026-09-15 19:58:38+00:00,790.0,0.02,0.02,0.03,-0.030000001,-60.0,10.0,639.0,0.10938390625,False,REGULAR,USD
SPY260923C00791000,2026-09-11 13:31:19+00:00,791.0,0.11,0.01,0.03,0.0,0.0,,42.0,0.11231356445312499,False,REGULAR,USD
SPY260923C00792000,2026-09-15 15:22:41+00:00,792.0,0.03,0.01,0.02,-0.04,-57.142857,3.0,35.0,0.10938390625,False,REGULAR,USD
SPY260923C00793000,2026-09-14 15:50:08+00:00,793.0,0.07,0.01,0.02,0.0,0.0,5.0,387.0,0.11231356445312499,False,REGULAR,USD
SPY260923C00794000,2026-09-14 13:30:42+00:00,794.0,0.04,0.01,0.02,0.0,0.0,6.0,50.0,0.11524322265625,False,REGULAR,USD
SPY260923C00795000,2026-09-15 18:18:08+00:00,795.0,0.02,0.01,0.02,-0.02,-50.0,25.0,42.0,0.118172880859375,False,REGULAR,USD
SPY260923C00796000,2026-09-11 16:18:47+00:00,796.0,0.08,0.01,0.02,0.0,0.0,,40.0,0.1211025390625,False,REGULAR,USD
SPY260923C00797000,2026-09-14 15:05:19+00:00,797.0,0.04,0.01,0.02,0.0,0.0,42.0,54.0,0.12305564453125001,False,REGULAR,USD
SPY260923C00798000,2026-09-11 13:54:16+00:00,798.0,0.05,0.01,0.02,0.0,0.0,,12.0,0.125985302734375,False,REGULAR,USD
SPY260923C00800000,2026-09-14 18:07:49+00:00,800.0,0.03,0.01,0.02,0.0,0.0,13.0,17.0,0.13086806640624998,False,REGULAR,USD
SPY260923C00801000,2026-09-11 13:54:39+00:00,801.0,0.04,0.01,0.02,0.0,0.0,,24.0,0.13477427734375003,False,REGULAR,USD
SPY260923C00803000,2026-09-10 16:14:32+00:00,803.0,0.04,0.01,0.02,0.0,0.0,,24.0,0.139657041015625,False,REGULAR,USD
SPY260923C00806000,2026-09-11 16:53:19+00:00,806.0,0.04,0.01,0.02,0.0,0.0,,24.0,0.147469462890625,False,REGULAR,USD
SPY260923C00807000,2026-09-10 18:55:24+00:00,807.0,0.03,0.01,0.02,0.0,0.0,,24.0,0.15039912109375003,False,REGULAR,USD
SPY260923C00810000,2026-09-15 15:18:03+00:00,810.0,0.01,0.01,0.02,-0.02,-66.66667,1.0,25.0,0.15821154296875,False,REGULAR,USD
SPY260923C00820000,2026-09-11 14:30:50+00:00,820.0,0.02,0.01,0.02,0.0,0.0,,4.0,0.18360191406249998,False,REGULAR,USD
SPY260923C00840000,2026-09-14 16:58:13+00:00,840.0,0.01,0.0,0.01,0.0,0.0,40.0,42.0,0.21875781249999998,False,REGULAR,USD
SPY260923C00870000,2026-09-10 18:46:16+00:00,870.0,0.01,,0.01,0.0,0.0,,429.0,0.28516339843749994,False,REGULAR,USD
SPY260923C00885000,2026-09-10 13:37:44+00:00,885.0,0.01,,0.01,0.0,0.0,,1.0,0.31641308593749995,False,REGULAR,USD
SPY260923C00950000,2026-09-11 14:06:44+00:00,950.0,0.01,,0.01,0.0,0.0,,1.0,0.445318046875,False,REGULAR,USD
