contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260930C00375000,2026-09-14 19:40:11+00:00,375.0,386.82,381.14,385.17,0.0,0.0,1.0,18,1.5102563549804686,True,REGULAR,USD
SPY260930C00380000,2026-08-07 14:03:38+00:00,380.0,392.65,376.14,380.17,0.0,0.0,5.0,8,1.484377578125,True,REGULAR,USD
SPY260930C00410000,2026-07-16 17:36:34+00:00,410.0,347.15,353.35,356.12,0.0,0.0,3.0,1,2.004277450256348,True,REGULAR,USD
SPY260930C00415000,2026-07-13 15:48:20+00:00,415.0,340.0,348.35,351.14,0.0,0.0,41.0,73,1.9714356896972656,True,REGULAR,USD
SPY260930C00420000,2026-09-02 13:48:25+00:00,420.0,342.88,336.15,340.19,0.0,0.0,16.0,50,1.2905308911132813,True,REGULAR,USD
SPY260930C00425000,2026-08-31 19:05:39+00:00,425.0,341.62,331.15,335.19,0.0,0.0,44.0,22,1.267093508300781,True,REGULAR,USD
SPY260930C00440000,2026-05-18 14:50:23+00:00,440.0,303.01,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260930C00450000,2026-05-27 14:49:18+00:00,450.0,303.49,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260930C00460000,2026-04-09 17:24:56+00:00,460.0,229.77,282.14,285.65,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260930C00470000,2026-06-12 18:25:01+00:00,470.0,275.35,286.58,289.97,0.0,0.0,1.0,0,1.0871627673339845,True,REGULAR,USD
SPY260930C00475000,2026-09-10 18:24:41+00:00,475.0,283.8,281.16,285.07,0.0,0.0,20.0,70,1.0351610742187503,True,REGULAR,USD
SPY260930C00480000,2026-07-31 19:45:23+00:00,480.0,271.0,288.36,291.88,0.0,0.0,2.0,3,1.816468202819824,True,REGULAR,USD
SPY260930C00485000,2026-08-18 18:34:15+00:00,485.0,284.98,271.16,275.11,0.0,0.0,13.0,29,0.9978027563476561,True,REGULAR,USD
SPY260930C00490000,2026-08-04 13:30:10+00:00,490.0,273.0,278.37,281.89,0.0,0.0,1.0,16,1.7525036788940427,True,REGULAR,USD
SPY260930C00495000,2026-04-15 17:54:51+00:00,495.0,212.11,248.12,251.5,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD
SPY260930C00500000,2026-09-01 14:06:58+00:00,500.0,263.61,256.17,260.12,0.0,0.0,15.0,59,0.9389654541015625,True,REGULAR,USD
SPY260930C00505000,2026-09-14 19:06:06+00:00,505.0,257.46,251.17,255.12,0.0,0.0,2.0,23,0.918946123046875,True,REGULAR,USD
SPY260930C00510000,2026-09-15 13:51:30+00:00,510.0,250.34,246.17,250.12,-5.8000183,-2.2643936,3.0,8,0.8991709301757811,True,REGULAR,USD
SPY260930C00515000,2026-09-14 17:20:02+00:00,515.0,247.46,241.17,245.08,0.0,0.0,4.0,202,0.875977802734375,True,REGULAR,USD
SPY260930C00520000,2026-09-15 13:49:31+00:00,520.0,239.64,236.17,240.12,-3.050003,-1.2567486,1.0,30,0.8601088208007812,True,REGULAR,USD
SPY260930C00525000,2026-08-25 19:25:19+00:00,525.0,241.48,231.17,235.13,0.0,0.0,1.0,2,0.84179845703125,True,REGULAR,USD
SPY260930C00530000,2026-09-02 14:45:43+00:00,530.0,236.98,226.17,230.13,0.0,0.0,6.0,46,0.8225115405273438,True,REGULAR,USD
SPY260930C00535000,2026-09-04 15:29:01+00:00,535.0,234.99,221.17,225.13,0.0,0.0,1.0,45,0.8034687622070311,True,REGULAR,USD
SPY260930C00540000,2026-09-08 18:40:33+00:00,540.0,227.85,216.17,220.11,0.0,0.0,1.0,49,0.7832052929687501,True,REGULAR,USD
SPY260930C00545000,2026-08-25 19:25:19+00:00,545.0,221.56,211.18,215.13,0.0,0.0,1.0,4,0.7666038964843751,True,REGULAR,USD
SPY260930C00550000,2026-09-04 16:05:19+00:00,550.0,220.64,206.18,210.14,0.0,0.0,10.0,17,0.7487818090820313,True,REGULAR,USD
SPY260930C00555000,2026-05-12 19:09:19+00:00,555.0,190.9,202.88,206.24,0.0,0.0,2.0,6,0.8740246972656249,True,REGULAR,USD
SPY260930C00560000,2026-05-26 18:46:49+00:00,560.0,197.36,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY260930C00565000,2026-09-15 14:17:39+00:00,565.0,193.56,191.18,195.14,20.949997,12.137186,1.0,6,0.6936065795898438,True,REGULAR,USD
SPY260930C00570000,2026-09-14 16:02:26+00:00,570.0,191.62,186.18,190.15,0.0,0.0,2.0,68,0.6762727685546877,True,REGULAR,USD
SPY260930C00575000,2026-09-15 15:45:45+00:00,575.0,183.0,181.18,185.15,-0.7200012,-0.39190137,1.0,351,0.65820654296875,True,REGULAR,USD
SPY260930C00580000,2026-09-14 14:32:07+00:00,580.0,179.64,176.18,180.16,0.0,0.0,3.0,10,0.6408727319335938,True,REGULAR,USD
SPY260930C00585000,2026-09-10 15:58:10+00:00,585.0,173.76,171.18,175.16,0.0,0.0,1.0,730,0.62305064453125,True,REGULAR,USD
SPY260930C00590000,2026-09-14 19:25:22+00:00,590.0,172.05,166.19,170.16,0.0,0.0,3.0,58,0.6059609716796877,True,REGULAR,USD
SPY260930C00594000,2026-09-14 15:32:26+00:00,594.0,165.27,162.19,166.17,0.0,0.0,7.0,2031,0.5925333715820313,True,REGULAR,USD
SPY260930C00595000,2026-08-27 19:45:14+00:00,595.0,177.17,161.19,165.17,0.0,0.0,21.0,403,0.5891154370117189,True,REGULAR,USD
SPY260930C00596000,2026-04-30 19:06:42+00:00,596.0,136.88,150.23,153.74,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY260930C00597000,2026-08-24 14:16:08+00:00,597.0,167.96,159.19,163.17,0.0,0.0,2.0,8,0.5820354296875,True,REGULAR,USD
SPY260930C00598000,2026-08-24 14:19:03+00:00,598.0,166.84,158.19,162.17,0.0,0.0,6.0,1275,0.5783733569335938,True,REGULAR,USD
SPY260930C00599000,2026-08-24 16:20:53+00:00,599.0,167.84,157.19,161.17,0.0,0.0,164.0,1699,0.5749554223632812,True,REGULAR,USD
SPY260930C00600000,2026-09-14 19:09:40+00:00,600.0,162.43,156.19,160.17,0.0,0.0,1.0,2432,0.5715374877929689,True,REGULAR,USD
SPY260930C00601000,2026-08-24 16:21:46+00:00,601.0,165.95,155.19,159.17,0.0,0.0,30.0,729,0.5678754150390625,True,REGULAR,USD
SPY260930C00602000,2026-08-24 16:16:12+00:00,602.0,164.73,154.19,158.17,0.0,0.0,31.0,53,0.5644574804687501,True,REGULAR,USD
SPY260930C00603000,2026-08-24 16:21:06+00:00,603.0,163.88,153.19,157.17,0.0,0.0,82.0,62,0.5610395458984375,True,REGULAR,USD
SPY260930C00604000,2026-09-08 13:30:33+00:00,604.0,165.86,152.19,156.18,0.0,0.0,1.0,33,0.5581098876953126,True,REGULAR,USD
SPY260930C00605000,2026-09-10 13:32:30+00:00,605.0,153.45,151.19,155.22,0.0,0.0,4.0,4879,0.5568891967773439,True,REGULAR,USD
SPY260930C00606000,2026-08-24 14:19:54+00:00,606.0,158.98,150.19,154.17,0.0,0.0,122.0,1672,0.5505416040039064,True,REGULAR,USD
SPY260930C00607000,2026-08-24 14:20:06+00:00,607.0,157.98,149.19,153.18,0.0,0.0,18.0,12,0.5476119458007813,True,REGULAR,USD
SPY260930C00608000,2026-08-24 16:21:57+00:00,608.0,159.03,148.19,152.18,0.0,0.0,254.0,158,0.5441940112304688,True,REGULAR,USD
SPY260930C00609000,2026-08-24 16:39:57+00:00,609.0,157.27,147.19,151.18,0.0,0.0,82.0,62,0.5406540075683595,True,REGULAR,USD
SPY260930C00610000,2026-09-10 13:50:42+00:00,610.0,149.0,146.2,150.18,0.0,0.0,4.0,951,0.5378464184570313,True,REGULAR,USD
SPY260930C00611000,2026-08-24 14:14:08+00:00,611.0,153.65,145.2,149.18,0.0,0.0,142.0,891,0.534184345703125,True,REGULAR,USD
SPY260930C00612000,2026-08-24 16:22:03+00:00,612.0,155.1,144.2,148.18,0.0,0.0,109.0,86,0.5307664111328125,True,REGULAR,USD
SPY260930C00613000,2026-09-04 18:42:49+00:00,613.0,157.6,143.2,147.18,0.0,0.0,2.0,54,0.5273484765625001,True,REGULAR,USD
SPY260930C00614000,2026-08-24 14:13:38+00:00,614.0,150.76,142.2,146.18,0.0,0.0,12.0,9,0.5239305419921875,True,REGULAR,USD
SPY260930C00615000,2026-09-10 14:30:55+00:00,615.0,144.5,141.2,145.19,0.0,0.0,2.0,670,0.5210008837890624,True,REGULAR,USD
