contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY260930P00375000,2026-09-08 19:35:26+00:00,375.0,0.01,0.0,0.01,0.0,0.0,50.0,15561,0.937500625,False,REGULAR,USD
SPY260930P00380000,2026-09-10 18:03:45+00:00,380.0,0.02,0.0,0.01,0.0,0.0,120.0,11609,0.937500625,False,REGULAR,USD
SPY260930P00385000,2026-09-10 19:52:49+00:00,385.0,0.01,0.0,0.01,0.0,0.0,340.0,9275,0.9062509375,False,REGULAR,USD
SPY260930P00390000,2026-09-09 19:58:00+00:00,390.0,0.01,0.0,0.01,0.0,0.0,50.0,1739,0.8906260937499999,False,REGULAR,USD
SPY260930P00395000,2026-09-09 19:59:02+00:00,395.0,0.01,0.0,0.01,0.0,0.0,1.0,3683,0.87500125,False,REGULAR,USD
SPY260930P00400000,2026-09-14 13:35:22+00:00,400.0,0.01,0.0,0.01,0.0,0.0,32.0,10009,0.85937640625,False,REGULAR,USD
SPY260930P00405000,2026-09-15 15:59:49+00:00,405.0,0.01,0.0,0.01,0.0,0.0,50.0,9882,0.8437515624999999,False,REGULAR,USD
SPY260930P00410000,2026-09-15 14:29:59+00:00,410.0,0.01,0.0,0.01,0.0,0.0,240.0,2286,0.8281267187499999,False,REGULAR,USD
SPY260930P00415000,2026-09-15 18:39:50+00:00,415.0,0.01,0.0,0.01,0.0,0.0,1157.0,2380,0.8125018749999999,False,REGULAR,USD
SPY260930P00420000,2026-09-14 19:56:06+00:00,420.0,0.01,0.01,0.02,0.0,0.0,450.0,670,0.85937640625,False,REGULAR,USD
SPY260930P00425000,2026-09-04 19:12:22+00:00,425.0,0.02,0.01,0.02,0.0,0.0,15.0,3338,0.8437515624999999,False,REGULAR,USD
SPY260930P00430000,2026-09-15 14:04:09+00:00,430.0,0.02,0.01,0.02,-0.01,-33.333336,2.0,456,0.8281267187499999,False,REGULAR,USD
SPY260930P00435000,2026-09-10 17:45:18+00:00,435.0,0.02,0.01,0.02,0.0,0.0,5.0,150704,0.8125018749999999,False,REGULAR,USD
SPY260930P00440000,2026-09-02 20:01:56+00:00,440.0,0.03,0.01,0.02,0.0,0.0,24.0,1015,0.79687703125,False,REGULAR,USD
SPY260930P00445000,2026-09-11 13:31:46+00:00,445.0,0.01,0.01,0.02,0.0,0.0,12.0,592,0.7812521875,False,REGULAR,USD
SPY260930P00450000,2026-09-15 19:57:25+00:00,450.0,0.02,0.01,0.02,0.0,0.0,4.0,11297,0.7656273437500001,False,REGULAR,USD
SPY260930P00455000,2026-09-15 14:40:37+00:00,455.0,0.02,0.01,0.02,0.0,0.0,5.0,1205,0.7500025,False,REGULAR,USD
SPY260930P00460000,2026-09-15 14:09:45+00:00,460.0,0.01,0.02,0.03,-0.02,-66.66667,1.0,1325,0.7656273437500001,False,REGULAR,USD
SPY260930P00465000,2026-09-14 14:00:36+00:00,465.0,0.03,0.02,0.03,0.0,0.0,10.0,251,0.7500025,False,REGULAR,USD
SPY260930P00470000,2026-09-15 16:15:16+00:00,470.0,0.02,0.02,0.03,-0.01,-33.333336,2.0,1837,0.73437765625,False,REGULAR,USD
SPY260930P00475000,2026-09-09 18:27:56+00:00,475.0,0.03,0.02,0.03,0.0,0.0,48.0,1721,0.7187528125,False,REGULAR,USD
SPY260930P00480000,2026-09-15 18:50:13+00:00,480.0,0.03,0.02,0.03,-0.01,-25.0,2.0,1473,0.7070341796875,False,REGULAR,USD
SPY260930P00485000,2026-09-15 20:03:51+00:00,485.0,0.03,0.02,0.03,0.0,0.0,72.0,678,0.6914093359375001,False,REGULAR,USD
SPY260930P00490000,2026-09-15 20:14:27+00:00,490.0,0.03,0.03,0.04,-0.01,-25.0,28.0,1306,0.6953155468750001,False,REGULAR,USD
SPY260930P00495000,2026-09-14 18:29:04+00:00,495.0,0.03,0.03,0.04,0.0,0.0,48.0,974,0.6796907031250001,False,REGULAR,USD
SPY260930P00500000,2026-09-15 18:32:20+00:00,500.0,0.04,0.03,0.04,0.01,33.333336,8.0,3191,0.6640658593750002,False,REGULAR,USD
SPY260930P00505000,2026-09-15 17:14:11+00:00,505.0,0.05,0.03,0.04,0.0,0.0,27.0,736,0.65039412109375,False,REGULAR,USD
SPY260930P00510000,2026-09-14 18:43:30+00:00,510.0,0.03,0.04,0.05,0.0,0.0,5.0,622,0.65039412109375,False,REGULAR,USD
SPY260930P00515000,2026-09-15 19:00:28+00:00,515.0,0.05,0.04,0.05,0.010000002,25.000004,100.0,1132,0.6347692773437501,False,REGULAR,USD
SPY260930P00520000,2026-09-15 14:25:25+00:00,520.0,0.05,0.04,0.05,0.0,0.0,1.0,1366,0.6210975390625001,False,REGULAR,USD
SPY260930P00525000,2026-09-14 16:48:23+00:00,525.0,0.05,0.05,0.06,0.0,0.0,13.0,920,0.6171913281250001,False,REGULAR,USD
SPY260930P00530000,2026-09-09 16:18:12+00:00,530.0,0.07,0.05,0.06,0.0,0.0,3.0,982,0.6035195898437502,False,REGULAR,USD
SPY260930P00535000,2026-09-15 13:34:28+00:00,535.0,0.06,0.05,0.06,0.009999998,19.999994,1.0,300976,0.58789474609375,False,REGULAR,USD
SPY260930P00540000,2026-09-15 17:43:29+00:00,540.0,0.08,0.06,0.07,0.029999997,59.999996,85.0,1847,0.5820354296875,False,REGULAR,USD
SPY260930P00545000,2026-09-10 16:06:40+00:00,545.0,0.08,0.06,0.07,0.0,0.0,1.0,784,0.56836369140625,False,REGULAR,USD
SPY260930P00550000,2026-09-10 14:31:46+00:00,550.0,0.09,0.07,0.08,0.0,0.0,15.0,1354,0.561527822265625,False,REGULAR,USD
SPY260930P00555000,2026-09-10 13:51:15+00:00,555.0,0.12,0.07,0.08,0.0,0.0,1.0,1078,0.5468795312500001,False,REGULAR,USD
SPY260930P00560000,2026-09-15 14:26:26+00:00,560.0,0.1,0.08,0.09,0.030000001,42.857143,1.0,1279,0.5390671093750001,False,REGULAR,USD
SPY260930P00565000,2026-09-09 18:02:50+00:00,565.0,0.1,0.09,0.1,0.0,0.0,2.0,516,0.5312546875,False,REGULAR,USD
SPY260930P00570000,2026-09-15 19:46:02+00:00,570.0,0.11,0.09,0.1,0.009999998,9.999997,15.0,1842,0.516606396484375,False,REGULAR,USD
SPY260930P00575000,2026-09-15 16:39:00+00:00,575.0,0.11,0.1,0.11,0.030000001,37.5,6.0,1244,0.507817421875,False,REGULAR,USD
SPY260930P00580000,2026-09-14 15:49:51+00:00,580.0,0.1,0.11,0.12,0.0,0.0,118.0,2484,0.500005,False,REGULAR,USD
SPY260930P00585000,2026-09-11 15:40:09+00:00,585.0,0.09,0.11,0.12,0.0,0.0,6.0,715,0.4858449853515625,False,REGULAR,USD
SPY260930P00590000,2026-09-14 18:58:16+00:00,590.0,0.12,0.12,0.13,0.0,0.0,930.0,8418,0.47559118164062497,False,REGULAR,USD
SPY260930P00594000,2026-09-11 16:15:26+00:00,594.0,0.1,0.13,0.14,0.0,0.0,2.0,224,0.467778759765625,False,REGULAR,USD
SPY260930P00595000,2026-09-14 14:24:44+00:00,595.0,0.15,0.13,0.14,0.0,0.0,1.0,530,0.46484910156250003,False,REGULAR,USD
SPY260930P00596000,2026-09-14 18:58:16+00:00,596.0,0.13,0.13,0.14,0.0,0.0,245.0,303,0.46191944335937507,False,REGULAR,USD
SPY260930P00597000,2026-09-14 18:58:16+00:00,597.0,0.13,0.13,0.14,0.0,0.0,112.0,20603,0.45898978515625005,False,REGULAR,USD
SPY260930P00598000,2026-09-15 19:24:15+00:00,598.0,0.16,0.14,0.15,0.019999996,14.285711,29.0,6995,0.459966337890625,False,REGULAR,USD
SPY260930P00599000,2026-09-15 17:03:38+00:00,599.0,0.15,0.14,0.15,0.050000004,50.000004,2.0,789,0.45703667968750006,False,REGULAR,USD
SPY260930P00600000,2026-09-15 17:03:39+00:00,600.0,0.15,0.14,0.15,0.0,0.0,3.0,29069,0.454107021484375,False,REGULAR,USD
SPY260930P00601000,2026-09-15 14:57:38+00:00,601.0,0.16,0.14,0.15,0.019999996,14.285711,26.0,720,0.45117736328125,False,REGULAR,USD
SPY260930P00602000,2026-09-14 20:03:24+00:00,602.0,0.16,0.14,0.15,0.0,0.0,1.0,155,0.44824770507812495,False,REGULAR,USD
SPY260930P00603000,2026-09-08 20:02:59+00:00,603.0,0.15,0.14,0.16,0.0,0.0,133.0,389,0.44922425781249997,False,REGULAR,USD
SPY260930P00604000,2026-09-09 14:09:06+00:00,604.0,0.16,0.15,0.16,0.0,0.0,2.0,156,0.446294599609375,False,REGULAR,USD
SPY260930P00605000,2026-09-15 15:01:48+00:00,605.0,0.17,0.15,0.16,0.050000004,41.66667,11.0,634,0.44336494140625,False,REGULAR,USD
SPY260930P00606000,2026-09-14 18:58:16+00:00,606.0,0.15,0.15,0.16,0.0,0.0,45.0,853,0.44043528320312497,False,REGULAR,USD
SPY260930P00607000,2026-09-14 13:36:21+00:00,607.0,0.18,0.15,0.16,0.0,0.0,2.0,54,0.437505625,False,REGULAR,USD
SPY260930P00608000,2026-09-10 19:32:38+00:00,608.0,0.24,0.15,0.17,0.0,0.0,299.0,475,0.437505625,False,REGULAR,USD
SPY260930P00609000,2026-09-15 17:35:33+00:00,609.0,0.18,0.16,0.17,-0.00999999,-5.263153,125.0,137,0.43457596679687505,False,REGULAR,USD
SPY260930P00610000,2026-09-15 17:35:35+00:00,610.0,0.18,0.16,0.17,0.02000001,12.500007,129.0,1192,0.43164630859375,False,REGULAR,USD
SPY260930P00611000,2026-09-10 19:32:38+00:00,611.0,0.25,0.16,0.17,0.0,0.0,49.0,469,0.428716650390625,False,REGULAR,USD
