contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,relative_spread,market_price,price_source,calculated_iv,expiry,option_type,time_to_expiry,underlying_price,moneyness
SPY260922C00755000,2026-09-15 20:03:16+00:00,755.0,6.99,7.08,7.32,-2.3400002,-25.080387,234.0,164.0,0.13544565734863284,True,REGULAR,USD,7.2,0.03333333333333336,7.2,mid,0.13386838123202327,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9968444069736688
SPY260922C00756000,2026-09-15 20:08:02+00:00,756.0,6.42,6.5,6.64,-2.75,-29.989094,536.0,176.0,0.1324244473266602,True,REGULAR,USD,6.57,0.021308980213089752,6.57,mid,0.13231714978814121,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9981647306915147
SPY260922C00757000,2026-09-15 20:11:08+00:00,757.0,5.9,5.89,6.02,-2.8200002,-32.33945,1055.0,73.0,0.13019668640136717,True,REGULAR,USD,5.955,0.02183039462636438,5.955,mid,0.13047510892152786,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9994850544093606
SPY260922C00758000,2026-09-15 20:13:14+00:00,758.0,5.33,5.3,5.41,-3.0699997,-36.54762,1645.0,232.0,0.12757220092773439,False,REGULAR,USD,5.355,0.020541549953314718,5.355,mid,0.1283178696036339,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0008053781272066
SPY260922C00759000,2026-09-15 20:14:03+00:00,759.0,4.76,4.74,4.85,-2.4099998,-33.61227,1394.0,29.0,0.12543599182128906,False,REGULAR,USD,4.795,0.02294056308654837,4.795,mid,0.12641221649944784,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0021257018450525
SPY260922C00760000,2026-09-15 20:14:08+00:00,760.0,4.25,4.21,4.31,-1.6599998,-28.087984,1469.0,396.0,0.12311667907714845,False,REGULAR,USD,4.26,0.023474178403755788,4.26,mid,0.12436863154172897,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0034460255628983
SPY260922C00761000,2026-09-15 20:02:19+00:00,761.0,3.61,3.72,3.82,-1.7300003,-32.397007,444.0,115.0,0.12122460815429686,False,REGULAR,USD,3.77,0.026525198938991947,3.77,mid,0.12264466926455497,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0047663492807444
SPY260922C00762000,2026-09-15 20:14:50+00:00,762.0,3.3,3.27,3.35,-1.4399998,-30.379745,573.0,93.0,0.11902736450195311,False,REGULAR,USD,3.31,0.024169184290030232,3.31,mid,0.12085947416722774,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0060866729985902
SPY260922C00763000,2026-09-15 20:10:06+00:00,763.0,2.8,2.84,2.92,-1.53,-35.334873,648.0,128.0,0.1170437417602539,False,REGULAR,USD,2.88,0.027777777777777804,2.88,mid,0.11899218916893003,2026-09-22,call,0.019178082191780823,757.3900146484375,1.007406996716436
SPY260922C00764000,2026-09-15 19:58:31+00:00,764.0,2.25,2.45,2.52,-1.5699999,-41.099476,324.0,163.0,0.11499908447265625,False,REGULAR,USD,2.4850000000000003,0.028169014084506973,2.4850000000000003,mid,0.11715609684586525,2026-09-22,call,0.019178082191780823,757.3900146484375,1.0087273204342821
